trial	val_loss	params
30	6.579494	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.0, 'lr': 0.002, 'weight_decay': 0.0, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
31	6.457856	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.0, 'lr': 0.002, 'weight_decay': 0.0001, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
32	5.869877	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.0, 'lr': 0.002, 'weight_decay': 0.0001, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
33	6.796413	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.0, 'lr': 0.0005, 'weight_decay': 0.0, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
34	6.993058	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.0, 'lr': 0.0005, 'weight_decay': 0.0, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
35	6.310150	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.0, 'lr': 0.0005, 'weight_decay': 0.0001, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
36	6.671073	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.0, 'lr': 0.0005, 'weight_decay': 0.0001, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
37	6.698120	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
38	6.637500	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
39	6.952904	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0001, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
40	7.054337	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.001, 'weight_decay': 0.0001, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
41	6.800584	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.002, 'weight_decay': 0.0, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
42	7.149383	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.002, 'weight_decay': 0.0, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
43	6.855025	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.002, 'weight_decay': 0.0001, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
44	6.669638	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.002, 'weight_decay': 0.0001, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
45	7.138535	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 0.0, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
46	7.059929	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 0.0, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
47	7.049307	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 0.0001, 'batch_size': 16, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
48	7.014760	{'hidden_size': 64, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.0005, 'weight_decay': 0.0001, 'batch_size': 32, 'samples_per_epoch': 60000, 'l_min': 30, 'l_max': 200}
